Smiles                                                       TCIT_Gf    G4_Gf      Dev       
N#C\C=C/C#N                                                  313.47     344.56     -31.09    
N#C\C=C\C#N                                                  313.47     344.56     -31.09    
N#Cc1ccccc1                                                  247.17     254.86     -7.69     
NC(Cc1ccccc1)C(O)=O                                          -135.80    -136.62    0.82      
NC1CC1                                                       162.84     163.44     -0.60     
NC1CCCCC1                                                    93.21      88.76      4.45      
NCc1ccccc1                                                   196.83     195.77     1.06      
NNc1ccccc1                                                   336.86     328.02     8.84      
N[C@@H](Cc1ccccc1)C(O)=O                                     -135.80    -136.62    0.82      
Nc1cccc(N)c1                                                 210.42     211.86     -1.45     
Nc1ccccc1                                                    169.05     168.35     0.70      
O=C(O)c1ccccc1                                               -210.60    -214.76    4.16      
O=C1C=CC(=O)C=C1                                             -73.38     -63.77     -9.62     
O=C1CC1                                                      39.44      53.25      -13.81    
O=C1CCC1                                                     -22.30     -23.98     1.69      
O=C1CCCC1                                                    -83.03     -89.91     6.88      
O=C1CCCCC1                                                   -100.93    -92.36     -8.57     
O=C1CCCCCC1                                                  -71.53     -68.43     -3.10     
O=C1CCCCCCC1                                                 -49.45     -47.99     -1.46     
O=C1CCCCCN1                                                  -67.31     -64.24     -3.07     
O=C1CCCN1                                                    -106.61    -89.06     -17.55    
O=C1CCCO1                                                    -269.46    -275.59    6.13      
O=C1CCO1                                                     -221.41    -224.95    3.54      
O=C1OC(=O)C=C1                                               -355.70    -355.88    0.19      
O=C1OCCO1                                                    -423.80    -426.43    2.63      
O=Cc1ccccc1                                                  18.96      18.76      0.19      
O=Cc1occc1                                                   -107.47    -105.50    -1.98     
O=c1occo1                                                    -348.72    -347.53    -1.19     
OC1=CC=CC1                                                   26.71      29.30      -2.60     
OC1=CCC=C1                                                   27.78      25.84      1.94      
OC1CC1                                                       -41.44     -31.91     -9.53     
OC1CCCC1                                                     -99.61     -106.01    6.40      
OC1CCCCC1                                                    -111.43    -116.98    5.56      
OCC1CCCO1                                                    -220.16    -220.03    -0.13     
OCCCCCCO                                                     -264.51    -263.56    -0.95     
OCCCCCO                                                      -271.99    -270.74    -1.25     
OCCCCO                                                       -279.48    -278.08    -1.40     
OCCOCCOCCO                                                   -458.11    -476.25    18.14     
OC[C@@H]1CCCO1                                               -220.16    -220.03    -0.13     
OCc1ccccc1                                                   -9.37      -4.00      -5.37     
OCc1occc1                                                    -130.45    -131.41    0.96      
Oc1c(F)c(F)c(F)c(F)c1F                                       -878.12    -864.94    -13.18    
Oc1ccc(Cl)cc1                                                -70.89     -52.95     -17.94    
Oc1ccc(O)cc1                                                 -175.14    -170.54    -4.60     
Oc1cccc(Cl)c1                                                -54.80     -55.23     0.43      
Oc1cccc(O)c1                                                 -185.83    -178.42    -7.41     
Oc1ccccc1                                                    -28.67     -27.47     -1.20     
Oc1ccccc1O                                                   -188.35    -181.62    -6.73     
SC1CCCCC1                                                    54.46      49.30      5.16      
SCc1ccccc1                                                   147.80     152.11     -4.31     
Sc1ccccc1                                                    139.48     145.42     -5.95     
